source,title,description,authors,url,stars,date
arxiv_ai,StepHint: Multi-level Stepwise Hints Enhance Reinforcement Learning to Reason,No abstract,"Kaiyi Zhang,Ang Lv,Jinpeng Li,Yongbo Wang,Feng Wang,Haoyuan Hu,Rui Yan",https://arxiv.org/abs/2507.02841,,2025-07-07
arxiv_ai,Establishing Best Practices for Building Rigorous Agentic Benchmarks,No abstract,"Yuxuan Zhu,Tengjun Jin,Yada Pruksachatkun,Andy Zhang,Shu Liu,Sasha Cui,Sayash Kapoor,Shayne Longpre,Kevin Meng,Rebecca Weiss,Fazl Barez,Rahul Gupta,Jwala Dhamala,Jacob Merizian,Mario Giulianelli,Harry Coppock,Cozmin Ududec,Jasjeet Sekhon,Jacob Steinhardt,Antony Kellerman,Sarah Schwettmann,Matei Zaharia,Ion Stoica,Percy Liang,Daniel Kang",https://arxiv.org/abs/2507.02825,,2025-07-07
arxiv_ai,Moral Responsibility or Obedience: What Do We Want from AI?,No abstract,Joseph Boland,https://arxiv.org/abs/2507.02788,,2025-07-07
arxiv_ai,KERAP: A Knowledge-Enhanced Reasoning Approach for Accurate Zero-shot Diagnosis Prediction Using Multi-agent LLMs,No abstract,"Yuzhang Xie,Hejie Cui,Ziyang Zhang,Jiaying Lu,Kai Shu,Fadi Nahab,Xiao Hu,Carl Yang",https://arxiv.org/abs/2507.02773,,2025-07-07
arxiv_ai,Grounding Intelligence in Movement,No abstract,"Melanie Segado,Felipe Parodi,Jordan K. Matelsky,Michael L. Platt,Eva B. Dyer,Konrad P. Kording",https://arxiv.org/abs/2507.02771,,2025-07-07
arxiv_ai,Knowledge Protocol Engineering: A New Paradigm for AI in Domain-Specific Knowledge Work,No abstract,Guangwei Zhang,https://arxiv.org/abs/2507.02760,,2025-07-07
arxiv_ai,Bourbaki: Self-Generated and Goal-Conditioned MDPs for Theorem Proving,No abstract,"Matthieu Zimmer,Xiaotong Ji,Rasul Tutunov,Anthony Bordg,Jun Wang,Haitham Bou Ammar",https://arxiv.org/abs/2507.02726,,2025-07-07
arxiv_ai,Time-critical and confidence-based abstraction dropping methods,No abstract,"Robin SchmÃƒÂ¶cker,Lennart Kampmann,Alexander Dockhorn",https://arxiv.org/abs/2507.02703,,2025-07-07
arxiv_ai,Detection of Disengagement from Voluntary Quizzes: An Explainable Machine Learning Approach in Higher Distance Education,No abstract,"Behnam Parsaeifard,Christof Imhof,Tansu Pancar,Ioan-Sorin Comsa,Martin Hlosta,Nicole Bergamin,Per Bergamin",https://arxiv.org/abs/2507.02681,,2025-07-07
arxiv_ai,Think How to Think: Mitigating Overthinking with Autonomous Difficulty Cognition in Large Reasoning Models,No abstract,"Yongjiang Liu,Haoxi Li,Xiaosong Ma,Jie Zhang,Song Guo",https://arxiv.org/abs/2507.02663,,2025-07-07
arxiv_ai,"Hey AI, Generate Me a Hardware Code! Agentic AI-based Hardware Design & Verification",No abstract,"Deepak Narayan Gadde,Keerthan Kopparam Radhakrishna,Vaisakh Naduvodi Viswambharan,Aman Kumar,Djones Lettnin,Wolfgang Kunz,Sebastian Simon",https://arxiv.org/abs/2507.02660,,2025-07-07
arxiv_ai,Decoupled Planning and Execution: A Hierarchical Reasoning Framework for Deep Search,No abstract,"Jiajie Jin,Xiaoxi Li,Guanting Dong,Yuyao Zhang,Yutao Zhu,Yang Zhao,Hongjin Qian,Zhicheng Dou",https://arxiv.org/abs/2507.02652,,2025-07-07
arxiv_ai,Strategic Intelligence in Large Language Models: Evidence from evolutionary Game Theory,No abstract,"Kenneth Payne,Baptiste Alloui-Cros",https://arxiv.org/abs/2507.02618,,2025-07-07
arxiv_ai,DynamiCare: A Dynamic Multi-Agent Framework for Interactive and Open-Ended Medical Decision-Making,No abstract,"Tianqi Shang,Weiqing He,Charles Zheng,Lingyao Li,Li Shen,Bingxin Zhao",https://arxiv.org/abs/2507.02616,,2025-07-07
arxiv_ai,Responsibility Gap and Diffusion in Sequential Decision-Making Mechanisms,No abstract,"Junli Jiang,Pavel Naumov",https://arxiv.org/abs/2507.02582,,2025-07-07
arxiv_ai,"AI Research Agents for Machine Learning: Search, Exploration, and Generalization in MLE-bench",No abstract,"Edan Toledo,Karen Hambardzumyan,Martin Josifoski,Rishi Hazra,Nicolas Baldwin,Alexis Audran-Reiss,Michael Kuchnik,Despoina Magka,Minqi Jiang,Alisia Maria Lupidi,Andrei Lupu,Roberta Raileanu,Kelvin Niu,Tatiana Shavrina,Jean-Christophe Gagnon-Audet,Michael Shvartsman,Shagun Sodhani,Alexander H. Miller,Abhishek Charnalia,Derek Dunfield,Carole-Jean Wu,Pontus Stenetorp,Nicola Cancedda,Jakob Nicolaus Foerster,Yoram Bachrach",https://arxiv.org/abs/2507.02554,,2025-07-07
arxiv_ai,Clarifying Before Reasoning: A Coq Prover with Structural Context,No abstract,"Yanzhen Lu,Hanbin Yang,Xiaodie Wang,Ge Zhang,Biao Li,Chenxu Fu,Chao Li,Yang Yuan,Andrew Chi-Chih Yao",https://arxiv.org/abs/2507.02541,,2025-07-07
arxiv_ai,The Gauss-Markov Adjunction: Categorical Semantics of Residuals in Supervised Learning,No abstract,Moto Kamiura,https://arxiv.org/abs/2507.02442,,2025-07-07
arxiv_ai,An AI-native experimental laboratory for autonomous biomolecular engineering,No abstract,"Mingyu Wu,Zhaoguo Wang,Jiabin Wang,Zhiyuan Dong,Jingkai Yang,Qingting Li,Tianyu Huang,Lei Zhao,Mingqiang Li,Fei Wang,Chunhai Fan,Haibo Chen",https://arxiv.org/abs/2507.02379,,2025-07-07
arxiv_ai,"OMS: On-the-fly, Multi-Objective, Self-Reflective Ad Keyword Generation via LLM Agent",No abstract,"Bowen Chen,Zhao Wang,Shingo Takamatsu",https://arxiv.org/abs/2507.02353,,2025-07-07
arxiv_ai,Iterated belief revision: from postulates to abilities,No abstract,Paolo Liberatore,https://arxiv.org/abs/2507.02319,,2025-07-07
arxiv_ai,Scaling LLM Planning: NL2FLOW for Parametric Problem Generation and Rigorous Evaluation,No abstract,Jungkoo Kang,https://arxiv.org/abs/2507.02253,,2025-07-07
arxiv_ai,"Dilution, Diffusion and Symbiosis in Spatial Prisoner's Dilemma with Reinforcement Learning",No abstract,"Gustavo C. Mangold,Heitor C. M. Fernandes,Mendeli H. Vainstein",https://arxiv.org/abs/2507.02211,,2025-07-07
arxiv_ai,Do Role-Playing Agents Practice What They Preach? Belief-Behavior Consistency in LLM-Based Simulations of Human Trust,No abstract,"Amogh Mannekote,Adam Davies,Guohao Li,Kristy Elizabeth Boyer,ChengXiang Zhai,Bonnie J Dorr,Francesco Pinto",https://arxiv.org/abs/2507.02197,,2025-07-07
arxiv_ai,Data Diversification Methods In Alignment Enhance Math Performance In LLMs,No abstract,"Berkan Dokmeci,Qingyang Wu,Ben Athiwaratkun,Ce Zhang,Shuaiwen Leon Song,James Zou",https://arxiv.org/abs/2507.02173,,2025-07-07
arxiv_ai,The Illusion of Fairness: Auditing Fairness Interventions with Audit Studies,No abstract,"Disa Sariola,Patrick Button,Aron Culotta,Nicholas Mattei",https://arxiv.org/abs/2507.02152,,2025-07-07
arxiv_ai,What Neuroscience Can Teach AI About Learning in Continuously Changing Environments,No abstract,"Daniel Durstewitz,Bruno Averbeck,Georgia Koppe",https://arxiv.org/abs/2507.02103,,2025-07-07
arxiv_ai,Measuring Scientific Capabilities of Language Models with a Systems Biology Dry Lab,No abstract,"Haonan Duan,Stephen Zhewen Lu,Caitlin Fiona Harrigan,Nishkrit Desai,Jiarui Lu,MichaÃ…â€š Koziarski,Leonardo Cotta,Chris J. Maddison",https://arxiv.org/abs/2507.02083,,2025-07-07
arxiv_ai,Reasoning on a Budget: A Survey of Adaptive and Controllable Test-Time Compute in LLMs,No abstract,"Mohammad Ali Alomrani,Yingxue Zhang,Derek Li,Qianyi Sun,Soumyasundar Pal,Zhanguang Zhang,Yaochen Hu,Rohan Deepak Ajwani,Antonios Valkanas,Raika Karimi,Peng Cheng,Yunzhou Wang,Pengyi Liao,Hanrui Huang,Bin Wang,Jianye Hao,Mark Coates",https://arxiv.org/abs/2507.02076,,2025-07-07
arxiv_ai,HCVR: A Hybrid Approach with Correlation-aware Voting Rules for Feature Selection,No abstract,"Nikita Bhedasgaonkar,Rushikesh K. Joshi",https://arxiv.org/abs/2507.02073,,2025-07-07
arxiv_ai,STELLA: Self-Evolving LLM Agent for Biomedical Research,No abstract,"Ruofan Jin,Zaixi Zhang,Mengdi Wang,Le Cong",https://arxiv.org/abs/2507.02004,,2025-07-07
arxiv_ai,Point3R: Streaming 3D Reconstruction with Explicit Spatial Pointer Memory,No abstract,"Yuqi Wu,Wenzhao Zheng,Jie Zhou,Jiwen Lu",https://arxiv.org/abs/2507.02863,,2025-07-07
arxiv_ai,LiteReality: Graphics-Ready 3D Scene Reconstruction from RGB-D Scans,No abstract,"Zhening Huang,Xiaoyang Wu,Fangcheng Zhong,Hengshuang Zhao,Matthias NieÃƒÅ¸ner,Joan Lasenby",https://arxiv.org/abs/2507.02861,,2025-07-07
arxiv_ai,Answer Matching Outperforms Multiple Choice for Language Model Evaluation,No abstract,"Nikhil Chandak,Shashwat Goel,Ameya Prabhu,Moritz Hardt,Jonas Geiping",https://arxiv.org/abs/2507.02856,,2025-07-07
arxiv_ai,Subtyping in DHOL -- Extended preprint,No abstract,"Colin Rothgang,Florian Rabe",https://arxiv.org/abs/2507.02855,,2025-07-07
arxiv_ai,MOTIF: Modular Thinking via Reinforcement Fine-tuning in LLMs,No abstract,"Purbesh Mitra,Sennur Ulukus",https://arxiv.org/abs/2507.02851,,2025-07-07
arxiv_ai,USAD: An Unsupervised Data Augmentation Spatio-Temporal Attention Diffusion Network,No abstract,"Ying Yu,Hang Xiao,Siyao Li,Jiarui Li,Haotian Tang,Hanyu Liu,Chao Li",https://arxiv.org/abs/2507.02827,,2025-07-07
arxiv_ai,DNN-Based Precoding in RIS-Aided mmWave MIMO Systems With Practical Phase Shift,No abstract,"Po-Heng Chou,Ching-Wen Chen,Wan-Jen Huang,Walid Saad,Yu Tsao,Ronald Y. Chang",https://arxiv.org/abs/2507.02824,,2025-07-07
arxiv_ai,SynapseRoute: An Auto-Route Switching Framework on Dual-State Large Language Model,No abstract,"Wencheng Zhang,Shiqin Qiao,Lingjie Luo,Yinfeng Li,Chuanyang Zheng,Qian Xu,Meng Li,Yong Gui,Yijun He,Jianing Qiu,Jindong Hong,Jiankai Sun",https://arxiv.org/abs/2507.02822,,2025-07-07
arxiv_ai,Self-Correction Bench: Revealing and Addressing the Self-Correction Blind Spot in LLMs,No abstract,Ken Tsui,https://arxiv.org/abs/2507.02778,,2025-07-07
arxiv_ai,Multi-agent Auditory Scene Analysis,No abstract,"Caleb Rascon,Luis Gato-Diaz,Eduardo GarcÃƒÂ­a-AlarcÃƒÂ³n",https://arxiv.org/abs/2507.02755,,2025-07-07
arxiv_ai,Fast and Simplex: 2-Simplicial Attention in Triton,No abstract,"Aurko Roy,Timothy Chou,Sai Surya Duvvuri,Sijia Chen,Jiecao Yu,Xiaodong Wang,Manzil Zaheer,Rohan Anil",https://arxiv.org/abs/2507.02754,,2025-07-07
arxiv_ai,Synthesizable by Design: A Retrosynthesis-Guided Framework for Molecular Analog Generation,No abstract,"Shuan Chen,Gunwook Nam,Yousung Jung",https://arxiv.org/abs/2507.02752,,2025-07-07
arxiv_ai,Linear Attention with Global Context: A Multipole Attention Mechanism for Vision and Physics,No abstract,"Alex Colagrande,Paul Caillon,Eva Feillet,Alexandre Allauzen",https://arxiv.org/abs/2507.02748,,2025-07-07
arxiv_ai,Early Signs of Steganographic Capabilities in Frontier LLMs,No abstract,"Artur Zolkowski,Kei Nishimura-Gasparian,Robert McCarthy,Roland S. Zimmermann,David Lindner",https://arxiv.org/abs/2507.02737,,2025-07-07
arxiv_ai,Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,No abstract,"Sizhe Chen,Arman Zharmagambetov,David Wagner,Chuan Guo",https://arxiv.org/abs/2507.02735,,2025-07-07
arxiv_ai,FairHuman: Boosting Hand and Face Quality in Human Image Generation with Minimum Potential Delay Fairness in Diffusion Models,No abstract,"Yuxuan Wang,Tianwei Cao,Huayu Zhang,Zhongjiang He,Kongming Liang,Zhanyu Ma",https://arxiv.org/abs/2507.02714,,2025-07-07
arxiv_ai,APT: Adaptive Personalized Training for Diffusion Models with Limited Data,No abstract,"JungWoo Chae,Jiyoon Kim,JaeWoong Choi,Kyungyul Kim,Sangheum Hwang",https://arxiv.org/abs/2507.02687,,2025-07-07
arxiv_ai,ASDA: Audio Spectrogram Differential Attention Mechanism for Self-Supervised Representation Learning,No abstract,"Junyu Wang,Tianrui Wang,Meng Ge,Longbiao Wang,Jianwu Dang",https://arxiv.org/abs/2507.02666,,2025-07-07
arxiv_ai,Solving the Hubbard model with Neural Quantum States,No abstract,"Yuntian Gu,Wenrui Li,Heng Lin,Bo Zhan,Ruichen Li,Yifei Huang,Di He,Yantao Wu,Tao Xiang,Mingpu Qin,Liwei Wang,Dingshun Lv",https://arxiv.org/abs/2507.02644,,2025-07-07
github,rustfs/rustfs,ðŸš€ High-performance distributed object storage for MinIO alternative.,,https://github.com/rustfs/rustfs,1593,2025-07-07
github,anthropics/prompt-eng-interactive-tutorial,Anthropic's Interactive Prompt Engineering Tutorial,,https://github.com/anthropics/prompt-eng-interactive-tutorial,15073,2025-07-07
github,th-ch/youtube-music,YouTube Music Desktop App bundled with custom plugins,,https://github.com/th-ch/youtube-music,24602,2025-07-07
github,dockur/macos,macOS inside a Docker container.,,https://github.com/dockur/macos,14808,2025-07-07
github,pocketbase/pocketbase,Open Source realtime backend in 1 file,,https://github.com/pocketbase/pocketbase,48516,2025-07-07
github,commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",,https://github.com/commaai/openpilot,54530,2025-07-07
github,smallcloudai/refact,"AI Agent that handles engineering tasks end-to-end: integrates with developersâ€™ tools, plans, executes, and iterates until it achieves a successful result.",,https://github.com/smallcloudai/refact,2466,2025-07-07
github,humanlayer/12-factor-agents,What are the principles we can use to build LLM-powered software that is actually good enough to put in the hands of production customers?,,https://github.com/humanlayer/12-factor-agents,6427,2025-07-07
github,ed-donner/llm_engineering,Repo to accompany my mastering LLM engineering course,,https://github.com/ed-donner/llm_engineering,2587,2025-07-07
github,CodeWithHarry/Sigma-Web-Dev-Course,Source Code for Sigma Web Development Course,,https://github.com/CodeWithHarry/Sigma-Web-Dev-Course,9109,2025-07-07
